doseg_[km],poraba_[kWh/100km],kapaciteta_[kWh],cas_polnjenja[min/100km],pospesek(0-100km/h)_[s],cena_[EUR],drzava,leto,znamka,model,link
720.0,16.9,122.0,6,5.9,108635,Nemčija,2026,Mercedes-Benz,EQS 450+,https://bestev4me.eu/ev-catalog/3578/mercedes-benz-eqs-450-2026
720.0,16.3,117.0,6,3.2,130900,ZDA,2024,Lucid,Air Grand Touring,https://bestev4me.eu/ev-catalog/3273/lucid-air-grand-touring-2024
715.0,15.2,108.7,5,4.7,65900,Nemčija,2026,BMW,i3 50 xDrive,https://bestev4me.eu/ev-catalog/3657/bmw-i3-50-xdrive-2026
685.0,17.2,118.0,7,6.2,109551,Nemčija,2024,Mercedes-Benz,EQS 450+,https://bestev4me.eu/ev-catalog/2193/mercedes-benz-eqs-450-2024
685.0,17.2,118.0,6,2.9,218000,ZDA,2022,Lucid,Air Dream Edition R,https://bestev4me.eu/ev-catalog/1696/lucid-air-dream-edition-r-2022
680.0,17.9,122.0,6,4.5,123284,Nemčija,2026,Mercedes-Benz,EQS 500 4MATIC,https://bestev4me.eu/ev-catalog/3579/mercedes-benz-eqs-500-4matic-2026
670.0,18.2,122.0,6,4.1,134732,Nemčija,2026,Mercedes-Benz,EQS 580 4MATIC,https://bestev4me.eu/ev-catalog/3580/mercedes-benz-eqs-580-4matic-2026
670.0,17.6,118.0,6,2.7,218000,ZDA,2022,Lucid,Air Dream Edition P,https://bestev4me.eu/ev-catalog/1098/lucid-air-dream-edition-p-2022
670.0,16.7,112.0,6,6.2,94403,Nemčija,2026,Mercedes-Benz,EQS 400,https://bestev4me.eu/ev-catalog/3577/mercedes-benz-eqs-400-2026
670.0,21.0,141.0,5,4.6,105000,Nemčija,2026,BMW,iX5 60 xDrive,https://bestev4me.eu/ev-catalog/3664/bmw-ix5-60-xdrive-2026
665.0,16.8,112.0,7,3.0,129000,ZDA,2023,Lucid,Air Grand Touring,https://bestev4me.eu/ev-catalog/1316/lucid-air-grand-touring-2023
655.0,18.0,118.0,8,5.7,113359,Nemčija,2024,Mercedes-Benz,EQS 450 4MATIC,https://bestev4me.eu/ev-catalog/2194/mercedes-benz-eqs-450-4matic-2024
640.0,18.4,118.0,8,4.9,125378,Nemčija,2024,Mercedes-Benz,EQS 500 4MATIC,https://bestev4me.eu/ev-catalog/2195/mercedes-benz-eqs-500-4matic-2024
640.0,18.4,118.0,8,4.4,141705,Nemčija,2024,Mercedes-Benz,EQS 580 4MATIC,https://bestev4me.eu/ev-catalog/2196/mercedes-benz-eqs-580-4matic-2024
635.0,17.0,107.8,7,6.2,109551,Nemčija,2021,Mercedes-Benz,EQS 450+,https://bestev4me.eu/ev-catalog/1483/mercedes-benz-eqs-450-2021
635.0,17.1,108.7,5,4.9,70900,Nemčija,2025,BMW,iX3 50 xDrive,https://bestev4me.eu/ev-catalog/3290/bmw-ix3-50-xdrive-2025
635.0,17.1,108.4,7,6.1,109551,Nemčija,2023,Mercedes-Benz,EQS 450+,https://bestev4me.eu/ev-catalog/2008/mercedes-benz-eqs-450-2023
615.0,20.0,123.0,7,3.6,119900,ZDA,2025,Lucid,Gravity Grand Touring,https://bestev4me.eu/ev-catalog/3292/lucid-gravity-grand-touring-2025
610.0,19.3,118.0,7,2.0,250000,ZDA,2025,Lucid,Air Sapphire,https://bestev4me.eu/ev-catalog/3274/lucid-air-sapphire-2025
610.0,18.4,112.0,5,3.9,71990,Švedska,2026,Volvo,EX60 P12 AWD,https://bestev4me.eu/ev-catalog/3443/volvo-ex60-p12-awd-2026
610.0,17.8,108.4,7,5.6,113359,Nemčija,2023,Mercedes-Benz,EQS 450 4MATIC,https://bestev4me.eu/ev-catalog/2009/mercedes-benz-eqs-450-4matic-2023
605.0,15.9,96.0,7,3.6,99900,ZDA,2024,Lucid,Air Touring,https://bestev4me.eu/ev-catalog/3270/lucid-air-touring-2024
605.0,17.8,107.8,7,5.6,113359,Nemčija,2022,Mercedes-Benz,EQS 450 4MATIC,https://bestev4me.eu/ev-catalog/1699/mercedes-benz-eqs-450-4matic-2022
600.0,15.8,94.9,6,5.4,75600,Nemčija,2024,Audi,A6 Sportback e-tron performance,https://bestev4me.eu/ev-catalog/2270/audi-a6-sportback-e-tron-performance-2024
600.0,17.3,103.5,6,5.8,,Kitajska,2025,Hongqi,EH7 111 kWh Long Range,https://bestev4me.eu/ev-catalog/3138/hongqi-eh7-111-kwh-long-range-2025
600.0,17.7,106.0,3,2.8,154700,Nemčija,2026,Mercedes-Benz,AMG GT 4-Door Coupé 55 4MATIC+,https://bestev4me.eu/ev-catalog/3627/mercedes-benz-amg-gt-4-door-coupe-55-4matic-2026
600.0,16.0,96.0,7,3.6,99900,ZDA,2025,Lucid,Air Touring,https://bestev4me.eu/ev-catalog/3272/lucid-air-touring-2025
600.0,17.7,106.0,3,2.4,196350,Nemčija,2026,Mercedes-Benz,AMG GT 4-Door Coupé 63 4MATIC+,https://bestev4me.eu/ev-catalog/3626/mercedes-benz-amg-gt-4-door-coupe-63-4matic-2026
590.0,18.3,107.8,7,4.3,141705,Nemčija,2021,Mercedes-Benz,EQS 580 4MATIC,https://bestev4me.eu/ev-catalog/1484/mercedes-benz-eqs-580-4matic-2021
590.0,18.4,108.4,7,4.8,125378,Nemčija,2023,Mercedes-Benz,EQS 500 4MATIC,https://bestev4me.eu/ev-catalog/2010/mercedes-benz-eqs-500-4matic-2023
590.0,18.4,108.4,7,4.3,141705,Nemčija,2023,Mercedes-Benz,EQS 580 4MATIC,https://bestev4me.eu/ev-catalog/2011/mercedes-benz-eqs-580-4matic-2023
590.0,16.1,95.0,8,3.2,110970,ZDA,2025,Tesla,Model S AWD,https://bestev4me.eu/ev-catalog/3383/tesla-model-s-awd-2025
590.0,18.3,107.8,7,4.8,125378,Nemčija,2022,Mercedes-Benz,EQS 500 4MATIC,https://bestev4me.eu/ev-catalog/1700/mercedes-benz-eqs-500-4matic-2022
